delta_phi_rad,normalized_susceptibility_empirical
-0.2303834612632516,0.985736879461401
-0.2199114857512856,0.9870387162913213
-0.20943951023931962,0.9882738128736619
-0.19896753472735362,0.9894430244148686
-0.18849555921538763,0.9905471714136095
-0.17802358370342164,0.9915870386345293
-0.16755160819145565,0.9925633741282309
-0.15707963267948966,0.993476888298469
-0.14660765716752389,0.9943282530175029
-0.1361356816555579,0.9951181007904992
-0.1256637061435919,0.9958470239698265
-0.11519173063162591,0.9965155740200384
-0.10471975511965992,0.9971242608342836
-0.09424777960769393,0.9976735521028369
-0.08377580409572793,0.9981638727343827
-0.07330382858376194,0.9985956043306401
-0.06283185307179595,0.9989690847148585
-0.05235987755982996,0.9992846075146555
-0.04188790204786397,0.9995424217996266
-0.031415926535897976,0.9997427317740799
-0.020943951023931984,0.9998856965252197
-0.010471975511965992,0.9999714298270208
-2.220446049250313e-16,1.0
0.01047197551196577,0.9999714298270208
0.02094395102393176,0.9998856965252197
0.031415926535897754,0.9997427317740799
0.041887902047863745,0.9995424217996266
0.05235987755982974,0.9992846075146555
0.06283185307179573,0.9989690847148585
0.07330382858376172,0.9985956043306401
0.08377580409572771,0.9981638727343827
0.0942477796076937,0.9976735521028369
0.1047197551196597,0.9971242608342836
0.11519173063162569,0.9965155740200383
0.12566370614359168,0.9958470239698266
0.13613568165555767,0.9951181007904992
0.14660765716752344,0.9943282530175029
0.15707963267948943,0.9934768882984689
0.16755160819145543,0.992563374128231
0.17802358370342142,0.9915870386345295
0.1884955592153874,0.9905471714136095
0.1989675347273534,0.9894430244148686
0.2094395102393194,0.988273812873662
0.21991148575128538,0.9870387162913212
0.23038346126325138,0.9857368794614009
0.24085543677521737,0.9843674135411101
0.25132741228718336,0.9829293971668548
0.26179938779914935,0.9814218776127552
0.27227136331111534,0.9798438719909761
0.28274333882308134,0.9781943684926485
0.2932153143350471,0.9764723276681363
0.3036872898470131,0.9746766837453472
0.3141592653589791,0.9728063459847592
0.3246312408709451,0.9708602000697893
0.3351032163829111,0.9688371095310994
0.34557519189487707,0.9667359172033974
0.35604716740684306,0.9645554467132592
0.36651914291880905,0.9622945039964683
0.37699111843077504,0.9599518788433279
0.38746309394274103,0.9575263464703929
0.397935069454707,0.9550166691170164
0.408407044966673,0.9524215976651041
0.418879020478639,0.9497398732804243
0.429350995990605,0.9469702290738163
0.43982297150257077,0.9441113917806088
0.450294947014537,0.9411620834565428
0.46076692252650275,0.9381210231884817
0.47123889803846897,0.9349869288181628
0.48171087355043474,0.9317585186772499
0.49218284906240095,0.9284345133319111
0.5026548245743667,0.9250136373351587
0.5131268000863329,0.9214946209851587
0.5235987755982987,0.9178762020877268
0.5340707511102645,0.9141571277212113
0.5445427266222307,0.910336156001967
0.5550147021341965,0.9064120578486188
0.5654866776461627,0.9023836187433129
0.5759586531581284,0.898249640488161
0.5864306286700947,0.8940089429550805
0.5969026041820604,0.8896603658272418
0.6073745796940266,0.8852027703303408
0.6178465552059924,0.8806350409519259
0.6283185307179586,0.8759560871470125
0.6387905062299244,0.871164845028243
0.6492624817418906,0.8662602790388482
0.6597344572538564,0.8612413836066988
0.6702064327658221,0.856107184777738
0.6806784082777884,0.8508567418271203
0.6911503837897541,0.8454891488463899
0.7016223593017203,0.840003536305061
0.7120943348136861,0.8343990725849876
0.7225663103256523,0.8286749654859324
0.7330382858376181,0.8228304637007763
0.7435102613495843,0.8168648582588324
0.7539822368615501,0.8107774839357684
0.7644542123735163,0.8045677206286639
0.7749261878854821,0.7982349946947694
0.7853981633974483,0.7917787802525633
0.795870138909414,0.7851986004437473
0.8063421144213803,0.7784940286548454
0.816814089933346,0.7716646896971289
0.8272860654453118,0.7647102609436087
0.837758040957278,0.7576304734218977
0.8482300164692438,0.7504251128617756
0.85870199198121,0.7430940206963348
0.8691739674931758,0.7356370950156397
0.879645943005142,0.7280542914718612
0.8901179185171078,0.7203456241349147
0.900589894029074,0.7125111662976593
0.9110618695410397,0.704551051229782
0.921533845053006,0.696465472879524
0.9320058205649717,0.6882546865224738
0.9424777960769379,0.6799190093566859
0.9529497715889037,0.6714588210434542
0.9634217471008695,0.6628745641931022
0.9738937226128357,0.6541667447952274
0.9843656981248015,0.6453359325928716
0.9948376736367677,0.6363827614001553
1.0053096491487334,0.6273079293629683
1.0157816246606997,0.6181121991623564
1.0262536001726654,0.6087963981603132
1.0367255756846316,0.5993614184877266
1.0471975511965974,0.5898082170743015
1.0576695267085636,0.580137815620322
1.0681415022205294,0.5703513005101889
1.0786134777324956,0.5604498226677062
1.0890854532444614,0.5504345973531712
1.0995574287564276,0.5403069039023496
1.1100294042683934,0.5300680854075087
1.1205013797803591,0.5197195483407019
1.1309733552923253,0.509262762119587
1.1414453308042911,0.4986992586160949
1.1519173063162573,0.48803063160832566
1.162389281828223,0.4772585361761182
1.1728612573401893,0.4663846880407688
1.183333232852155,0.45541086284946003
1.1938052083641213,0.4443388954049807
1.204277183876087,0.43317067884141003
1.2147491593880533,0.42190816374644907
1.225221134900019,0.41055335723117886
1.2356931104119853,0.3991083219480337
1.246165085923951,0.38757517505786876
1.2566370614359172,0.37595608714701234
