delta_phi_rad,chi_phi_emp_norm
-0.06283185307179595,0.9980267284282716
-0.05235987755982996,0.9986295347545738
-0.04188790204786397,0.9991228300988584
-0.031415926535897976,0.9995065603657316
-0.020943951023931984,0.9997806834748455
-0.010471975511965992,0.9999451693655121
-2.220446049250313e-16,1.0
0.01047197551196577,0.9999451693655121
0.02094395102393176,0.9997806834748455
0.031415926535897754,0.9995065603657316
0.041887902047863745,0.9991228300988584
0.05235987755982974,0.9986295347545738
0.06283185307179573,0.9980267284282716
0.07330382858376172,0.9973144772244581
0.08377580409572771,0.9964928592495044
0.0942477796076937,0.99556196460308
0.1047197551196597,0.9945218953682733
0.11519173063162569,0.9933727656003964
0.12566370614359168,0.9921147013144779
0.13613568165555767,0.9907478404714436
0.14660765716752344,0.9892723329629883
0.15707963267948943,0.9876883405951378
0.16755160819145543,0.985996037070505
0.17802358370342142,0.984195607969242
0.1884955592153874,0.9822872507286887
0.1989675347273534,0.9802711746217219
0.2094395102393194,0.9781476007338057
0.21991148575128538,0.9759167619387474
0.23038346126325138,0.9735789028731603
0.24085543677521737,0.9711342799096361
0.25132741228718336,0.9685831611286312
0.26179938779914935,0.9659258262890683
0.27227136331111534,0.9631625667976582
0.28274333882308134,0.9602936856769431
0.2932153143350471,0.9573194975320674
0.3036872898470131,0.9542403285162769
0.3141592653589791,0.9510565162951536
0.3246312408709451,0.9477684100095858
0.3351032163829111,0.9443763702374811
0.34557519189487707,0.9408807689542256
0.35604716740684306,0.9372819894918916
0.36651914291880905,0.9335804264972019
0.37699111843077504,0.9297764858882515
0.38746309394274103,0.9258705848099948
0.397935069454707,0.9218631515885006
0.408407044966673,0.9177546256839811
0.418879020478639,0.913545457642601
0.429350995990605,0.9092361090470685
0.43982297150257077,0.9048270524660197
0.450294947014537,0.9003187714021935
0.46076692252650275,0.895711760239413
0.47123889803846897,0.8910065241883679
0.48171087355043474,0.8862035792312148
0.49218284906240095,0.8813034520649922
0.5026548245743667,0.8763066800438637
0.5131268000863329,0.8712138111201894
0.5235987755982987,0.8660254037844387
0.5340707511102645,0.8607420270039439
0.5445427266222307,0.8553642601605067
0.5550147021341965,0.8498926929868641
0.5654866776461627,0.8443279255020152
0.5759586531581284,0.8386705679454242
0.5864306286700947,0.8329212407100995
0.5969026041820604,0.8270805742745619
0.6073745796940266,0.821149209133704
0.6178465552059924,0.8151277957285544
0.6283185307179586,0.8090169943749475
0.6387905062299244,0.8028174751911147
0.6492624817418906,0.7965299180241963
0.6597344572538564,0.7901550123756905
0.6702064327658221,0.7836934573258401
0.6806784082777884,0.777145961456971
0.6911503837897541,0.7705132427757895
0.7016223593017203,0.7637960286346422
0.7120943348136861,0.7569950556517566
0.7225663103256523,0.7501110696304596
0.7330382858376181,0.7431448254773945
0.7435102613495843,0.7360970871197344
0.7539822368615501,0.7289686274214118
0.7644542123735163,0.7217602280983623
0.7749261878854821,0.7144726796328036
0.7853981633974483,0.7071067811865476
0.795870138909414,0.6996633405133655
0.8063421144213803,0.6921431738704068
0.816814089933346,0.6845471059286888
0.8272860654453118,0.6768759696826611
0.837758040957278,0.6691306063588583
0.8482300164692438,0.6613118653236522
0.85870199198121,0.6534206039901056
0.8691739674931758,0.6454576877239508
0.879645943005142,0.6374239897486899
0.8901179185171078,0.6293203910498377
0.900589894029074,0.6211477802783104
0.9110618695410397,0.6129070536529767
0.921533845053006,0.6045991148623749
0.9320058205649717,0.596224874965616
0.9424777960769379,0.5877852522924731
0.9529497715889037,0.5792811723426791
0.9634217471008695,0.570713567684432
0.9738937226128357,0.5620833778521308
0.9843656981248015,0.5533915492433444
0.9948376736367677,0.5446390350150272
1.0053096491487334,0.535826794978997
1.0157816246606997,0.5269557954966777
1.0262536001726654,0.5180270093731305
1.0367255756846316,0.5090414157503714
1.0471975511965974,0.5000000000000003
1.0576695267085636,0.49090375361514094
1.0681415022205294,0.48175367410171555
1.0786134777324956,0.47255076486905406
1.0890854532444614,0.463296035119862
