delta_omega,normalized_smoothed_mean
0.17013963407381802,-0.5180270093731303
0.1668677180339369,-0.5090414157503713
0.1635958019940558,-0.5
0.16032388595417468,-0.4909037536151409
0.15705196991429354,-0.4817536741017153
0.15378005387441243,-0.472550764869054
0.15050813783453132,-0.4632960351198617
0.14723622179465018,-0.45399049973954675
0.14396430575476907,-0.44463517918492745
0.140692389714888,-0.4352310993723277
0.1374204736750069,-0.42577929156507277
0.1341485576351258,-0.4162807922604013
0.13087664159524465,-0.4067366430758003
0.12760472555536354,-0.39714789063478073
0.12433280951548242,-0.38751558645210304
0.1210608934756013,-0.3778407868184672
0.11778897743572019,-0.36812455268467803
0.11451706139583906,-0.3583679495453003
0.11124514535595795,-0.34857204732181524
0.10797322931607682,-0.3387379202452914
0.1047013132761957,-0.32886664673858323
0.10142939723631458,-0.31895930929807
0.09815748119643346,-0.3090169943749474
0.09488556515655241,-0.2990407922560869
0.09161364911667129,-0.2890317969444718
0.08834173307679016,-0.2789911060392294
0.08506981703690905,-0.26891982061526587
0.08179790099702793,-0.2588190451025209
0.07852598495714681,-0.2486898871648549
0.07525406891726569,-0.238533457578581
0.07198215287738458,-0.22835087011065583
0.06871023683750345,-0.21814324139654262
0.06543832079762232,-0.2079116908177594
0.06216640475774121,-0.19765734037912622
0.05889448871786009,-0.18738131458572466
0.055622572677978974,-0.17708474031958332
0.05235065663809785,-0.16676874671610228
0.04907874059821673,-0.15643446504023087
0.04580682455833568,-0.14608302856241182
0.04253490851845456,-0.13571557243430457
0.03926299247857344,-0.12533323356430442
0.03599107643869232,-0.11493715049286676
0.032719160398811196,-0.10452846326765361
0.02944724435893008,-0.09410831331851445
0.02617532831904896,-0.08367784333231561
0.02290341227916784,-0.07323819712763179
0.01963149623928672,-0.06279051952931346
0.016359580199405598,-0.052335956242943904
0.01308766415952448,-0.041875653729199686
0.00981574811964336,-0.031410759078128334
0.00654383207976224,-0.02094241988335699
0.00327191603988112,-0.010471784116245808
6.937671918666301e-17,-2.220446049250313e-16
-0.0032719160398810504,0.010471784116245586
-0.00654383207976217,0.020942419883356767
-0.009815748119643291,0.03141075907812812
-0.01308766415952441,0.041875653729199463
-0.01635958019940553,0.05233595624294368
-0.01963149623928665,0.06279051952931324
-0.02290341227916777,0.07323819712763156
-0.02617532831904889,0.08367784333231539
-0.02944724435893001,0.09410831331851423
-0.03271916039881113,0.10452846326765339
-0.03599107643869225,0.11493715049286654
-0.03926299247857337,0.1253332335643042
-0.04253490851845449,0.13571557243430435
-0.04580682455833554,0.14608302856241137
-0.04907874059821666,0.15643446504023065
-0.05235065663809778,0.16676874671610206
-0.055622572677978904,0.1770847403195831
-0.05889448871786002,0.18738131458572446
-0.06216640475774114,0.197657340379126
-0.06543832079762225,0.20791169081775918
-0.06871023683750338,0.21814324139654243
-0.0719821528773845,0.2283508701106556
-0.07525406891726562,0.23853345757858077
-0.07852598495714674,0.24868988716485468
-0.08179790099702786,0.2588190451025207
-0.08506981703690898,0.26891982061526565
-0.0883417330767901,0.2789911060392292
-0.09161364911667115,0.28903179694447134
-0.09488556515655228,0.29904079225608643
-0.09815748119643339,0.3090169943749472
-0.10142939723631451,0.31895930929806976
-0.10470131327619563,0.32886664673858307
-0.10797322931607675,0.3387379202452912
-0.11124514535595788,0.34857204732181507
-0.11451706139583899,0.3583679495453001
-0.11778897743572012,0.3681245526846778
-0.12106089347560123,0.377840786818467
-0.12433280951548235,0.3875155864521029
-0.12760472555536348,0.3971478906347805
-0.1308766415952446,0.40673664307580015
-0.1341485576351257,0.4162807922604011
-0.13742047367500676,0.4257792915650724
-0.14069238971488796,0.43523109937232746
-0.143964305754769,0.44463517918492723
-0.14723622179465018,0.45399049973954675
-0.15050813783453124,0.4632960351198615
-0.15378005387441243,0.472550764869054
-0.1570519699142935,0.4817536741017151
-0.16032388595417468,0.4909037536151409
-0.1635958019940557,0.49999999999999983
-0.16686771803393677,0.509041415750371
-0.17013963407381796,0.5180270093731301
-0.17341155011369902,0.5269557954966773
-0.1766834661535802,0.5358267949789965
-0.17995538219346124,0.5446390350150269
-0.18322729823334244,0.553391549243344
-0.1864992142732235,0.5620833778521304
-0.1897711303131047,0.5707135676844316
-0.19304304635298572,0.5792811723426786
-0.19631496239286692,0.5877852522924731
-0.19958687843274797,0.5962248749656156
-0.20285879447262917,0.6045991148623748
-0.20613071051251022,0.6129070536529764
-0.20940262655239125,0.6211477802783101
-0.21267454259227245,0.6293203910498373
-0.2159464586321535,0.6374239897486894
-0.2192183746720347,0.6454576877239504
-0.22249029071191576,0.6534206039901052
-0.22576220675179692,0.6613118653236518
-0.22903412279167798,0.669130606358858
-0.23230603883155918,0.6768759696826606
