time,cargo x,cargo y,cargo z,cargo alpha,cargo beta,cargo gamma,phi1,phi2,phi3,phi4,current1,current2,current3,current4,r1 x,r1 y,r1 z,r2 x,r2 y,r2 z,r3 x,r3 y,r3 z,r4 x,r4 y,r4 z
1187,-0.138996348,-0.389023185,0.074193157,0.000711264,0.000511465,0.435718656,4.257262062,1.0457662,2.514287438,4.157627173,0.546758939,0.519788155,0.618737655,0.470050811,0.518338323,0.57349813,0.99276644,-0.584618568,-1.365321398,-0.332307816,-0.837399662,-1.165122986,0.952301979,0.891066194,-2.382152557,-2.28704524
1188,-0.139616027,-0.390610665,0.074132785,0.000699486,0.000551171,0.438659757,4.30366094,1.1057662,2.574287438,4.197627173,0.546969119,0.52001549,0.619637411,0.46988157,0.517161846,0.571974337,0.992895544,-0.583733022,-1.367317677,-0.335638881,-0.837339401,-1.165074468,0.953628957,0.890977025,-2.382741213,-2.287022114
1189,-0.140176088,-0.392000288,0.074116483,0.000740839,0.000642125,0.441307455,4.349793612,1.1657662,2.634287438,4.237627173,0.547314734,0.520321627,0.620843616,0.46977308,0.516201615,0.57073313,0.993147016,-0.582551718,-1.369446635,-0.339026451,-0.837291181,-1.165036201,0.95469892,0.890818596,-2.383549213,-2.287024736
1190,-0.140839458,-0.393332183,0.074086964,0.000712719,0.000590851,0.44402945,4.395741053,1.2257662,2.694287438,4.277627173,0.547982444,0.521214799,0.62141178,0.469630602,0.515407085,0.569727838,0.993891239,-0.580920041,-1.371092796,-0.342069328,-0.837242782,-1.165002227,0.955668747,0.890672684,-2.385267258,-2.28703022
1191,-0.141250491,-0.394359082,0.073991053,0.000626314,0.000596063,0.446282029,4.441595209,1.2857662,2.754287438,4.317627173,0.548445783,0.522394694,0.624599317,0.469672346,0.514793098,0.568955779,0.99519527,-0.578386784,-1.374757648,-0.346780211,-0.837198079,-1.164966106,0.956426799,0.891201675,-2.388400555,-2.287039042
1192,-0.142255709,-0.395705462,0.074116826,0.000723048,0.000470383,0.449403048,4.487434376,1.3457662,2.814287438,4.357627173,0.550101636,0.524045303,0.628320112,0.469409574,0.514362931,0.56842047,0.996414065,-0.575948834,-1.379577279,-0.352812588,-0.837152183,-1.164933085,0.95690465,0.891227007,-2.39004159,-2.287046432
1193,-0.142793998,-0.396666527,0.073928833,0.000490708,0.000471789,0.452042371,4.533356735,1.4057662,2.874287438,4.397627173,0.551256775,0.525284084,0.628007917,0.4695472,0.514132738,0.56812638,0.997661054,-0.573463678,-1.380337119,-0.354700744,-0.837105215,-1.164900661,0.957107604,0.892401338,-2.392267227,-2.28705287
1194,-0.143127725,-0.397291303,0.073741741,0.000401668,0.00033394,0.454008192,4.579455495,1.4657662,2.934287438,4.437627173,0.55217504,0.527131622,0.632178307,0.469700231,0.514049292,0.568016052,0.999711514,-0.569359422,-1.384648204,-0.360393971,-0.837062657,-1.164864898,0.957151473,0.892976284,-2.393713474,-2.287063122
1195,-0.143833578,-0.398071468,0.073818773,0.0004772,0.000381197,0.456688285,4.62581129,1.5257662,2.994287438,4.477627173,0.553712106,0.528213384,0.635744198,0.469805192,0.513990045,0.567949653,1.000568867,-0.567062974,-1.3888973,-0.365473807,-0.837011993,-1.164834499,0.957161188,0.893381774,-2.395622969,-2.28706789
1196,-0.144370854,-0.398607552,0.073675379,0.000354182,0.000236237,0.458983749,4.672510745,1.5857662,3.054287438,4.517627173,0.554831146,0.529840311,0.635810432,0.469971094,0.513929129,0.567874968,1.002186179,-0.562711596,-1.389817238,-0.367887706,-0.836966872,-1.164798617,0.957157433,0.894107938,-2.398946524,-2.287077665
