q_left,q_right,mean,std,n,sem
0.2666666666666666,0.7666666666666666,-0.09266944053327528,0.8268563059030458,10,0.26147492243265535
0.35,0.7666666666666666,-0.40943016418121114,0.7581761549406452,10,0.2397563517241162
0.4333333333333333,0.7666666666666666,-0.16473600129773247,0.6535757363249834,10,0.20667879502085942
0.5166666666666666,0.7666666666666666,-0.28621008114250013,0.6010153940006546,10,0.19005775538655667
0.6,0.7666666666666666,-0.2247589403783508,0.5333477889240742,10,0.16865937980148
0.6833333333333332,0.7666666666666666,-0.19666017788073487,0.5259583844343302,10,0.16632264492749346
0.7666666666666666,0.7666666666666666,-0.16135899495819073,0.6699760685456136,10,0.21186503544092328
0.1,0.85,-0.3924816224579411,0.8711102304648994,10,0.275469242134328
0.1833333333333333,0.85,-0.19389956168702502,0.9514479003117268,10,0.3008742439969885
0.2666666666666666,0.85,-0.2874063712673429,0.8070295689619555,10,0.25520515770237084
0.35,0.85,-0.45599126119600797,0.7725144210115333,10,0.24429050957226817
0.4333333333333333,0.85,-0.18258423063589438,0.6567598491764552,10,0.20768569991462585
0.5166666666666666,0.85,-0.2010934128524414,0.6893415263498179,10,0.21798893090024013
0.6,0.85,0.0042325908081696,0.6113655151333977,10,0.19333075107036765
0.6833333333333332,0.85,-0.14542597902879764,0.6252067631313254,10,0.19770773800363736
0.7666666666666666,0.85,-0.20910466427562852,0.6566460253910944,10,0.2076497056732616
0.85,0.85,-0.21436987435653476,0.5869237623043652,10,0.185601590175707
0.1,0.9333333333333332,-0.3272152368877957,0.9232087331324202,10,0.29194423524570035
0.1833333333333333,0.9333333333333332,-0.16746952151315747,0.9930033482189984,10,0.31401523045453406
0.2666666666666666,0.9333333333333332,-0.13499395691224203,0.8292085340688258,10,0.2622187622906818
0.35,0.9333333333333332,-0.4134850424013831,0.7596667897403356,10,0.24022773183676926
0.4333333333333333,0.9333333333333332,-0.2868561383407614,0.8950496209494625,10,0.2830395421070661
0.5166666666666666,0.9333333333333332,0.17094525590084567,0.5824013720983979,10,0.18417148482381754
0.6,0.9333333333333332,-0.12459892507556751,0.5762908512180492,10,0.18223916845662563
0.6833333333333332,0.9333333333333332,-0.04004598259102288,0.6438403305172232,10,0.20360018939100405
0.7666666666666666,0.9333333333333332,-0.15529895371288552,0.6568600257208476,10,0.2077173785194663
0.85,0.9333333333333332,-0.29754393267670737,0.4376314472493069,10,0.13839121490236397
0.9333333333333332,0.9333333333333332,-0.1172022104102417,0.6248974980013693,10,0.19760993978248445
0.1,1.0166666666666666,-0.32170463368851476,0.9321670589640412,10,0.29477710661068474
0.1833333333333333,1.0166666666666666,-0.11982303677757625,0.9668834685651583,10,0.3057553992629715
0.2666666666666666,1.0166666666666666,-0.07522531429900943,0.8500055780403727,10,0.268795365045558
0.35,1.0166666666666666,-0.15672832514277868,0.6919327075918886,10,0.21880833435576488
0.4333333333333333,1.0166666666666666,-0.2623355500883559,0.8124703084970905,10,0.25692567061104604
0.5166666666666666,1.0166666666666666,0.1823265432975864,0.6993787815969356,10,0.22116298970397694
0.6,1.0166666666666666,0.0002538041822590986,0.5111022567026688,10,0.16162472484324938
0.6833333333333332,1.0166666666666666,-0.028279421195642696,0.5519903536146108,10,0.17455467638639277
0.7666666666666666,1.0166666666666666,-0.01930344960755408,0.6307005771759722,10,0.19944503454588794
0.85,1.0166666666666666,-0.14627032093339568,0.44901525742913495,10,0.14199109176429073
0.9333333333333332,1.0166666666666666,-0.2435597932913601,0.44682773221707733,10,0.14129933555337623
1.0166666666666666,1.0166666666666666,-0.11067111824174744,0.5130460237963654,10,0.1622393979689461
0.1,1.1,-0.28470520829033064,0.9399965435002325,10,0.2972530070146279
0.1833333333333333,1.1,-0.14098086413400665,0.9745650236822537,10,0.30818452027718585
0.2666666666666666,1.1,-0.11869769945248802,0.831738060595422,10,0.2630186688132677
0.35,1.1,-0.13630576318490167,0.6648098216245372,10,0.21023132471837988
0.4333333333333333,1.1,-0.2146520118867054,0.8280806944190037,10,0.26186210807779337
0.5166666666666666,1.1,-0.2346896087645752,0.8493638784398304,10,0.26859244181442465
0.6,1.1,0.3503859913962081,0.6326784475959083,10,0.20007049209025513
0.6833333333333332,1.1,0.01900555817587344,0.5825653665407076,10,0.18422334441994828
0.7666666666666666,1.1,0.11702145001712441,0.5814036767807156,10,0.1838559858623414
