q_left,q_right,sym_mean,sym_sem,n
0.26666666666666666,0.85,-0.2874063712673429,0.25520515770237084,10
0.35,0.85,-0.45599126119600797,0.24429050957226817,10
0.43333333333333335,0.85,-0.18258423063589438,0.20768569991462585,10
0.5166666666666666,0.85,-0.2010934128524414,0.21798893090024013,10
0.6,0.85,0.0042325908081696,0.19333075107036765,10
0.6833333333333332,0.85,-0.14542597902879764,0.19770773800363736,10
0.7666666666666666,0.85,-0.20910466427562852,0.2076497056732616,10
0.85,0.85,0.0,0.0,10
0.9333333333333332,0.85,0.29754393267670737,0.13839121490236397,10
1.0166666666666666,0.85,0.14627032093339568,0.14199109176429073,10
1.1,0.85,0.10597210232273724,0.1466446530362116,10
0.1,0.9333333333333332,-0.3272152368877957,0.29194423524570035,10
0.18333333333333335,0.9333333333333332,-0.16746952151315747,0.31401523045453406,10
0.26666666666666666,0.9333333333333332,-0.13499395691224203,0.2622187622906818,10
0.35,0.9333333333333332,-0.4134850424013831,0.24022773183676926,10
0.43333333333333335,0.9333333333333332,-0.2868561383407614,0.2830395421070661,10
0.5166666666666666,0.9333333333333332,0.17094525590084567,0.18417148482381754,10
0.6,0.9333333333333332,-0.12459892507556751,0.18223916845662563,10
0.6833333333333332,0.9333333333333332,-0.04004598259102288,0.20360018939100405,10
0.7666666666666666,0.9333333333333332,-0.15529895371288552,0.2077173785194663,10
0.85,0.9333333333333332,-0.29754393267670737,0.13839121490236397,10
0.9333333333333332,0.9333333333333332,0.0,0.0,10
1.0166666666666666,0.9333333333333332,0.2435597932913601,0.14129933555337623,10
1.1,0.9333333333333332,0.15630118788751063,0.15609626260379197,10
0.1,1.0166666666666666,-0.32170463368851476,0.29477710661068474,10
0.18333333333333335,1.0166666666666666,-0.11982303677757625,0.3057553992629715,10
0.26666666666666666,1.0166666666666666,-0.07522531429900943,0.268795365045558,10
0.35,1.0166666666666666,-0.15672832514277868,0.21880833435576488,10
0.43333333333333335,1.0166666666666666,-0.2623355500883559,0.25692567061104604,10
0.5166666666666666,1.0166666666666666,0.1823265432975864,0.22116298970397694,10
0.6,1.0166666666666666,0.0002538041822590986,0.16162472484324938,10
0.6833333333333332,1.0166666666666666,-0.028279421195642696,0.17455467638639277,10
0.7666666666666666,1.0166666666666666,-0.01930344960755408,0.19944503454588794,10
0.85,1.0166666666666666,-0.14627032093339568,0.14199109176429073,10
0.9333333333333332,1.0166666666666666,-0.2435597932913601,0.14129933555337623,10
1.0166666666666666,1.0166666666666666,0.0,0.0,10
1.1,1.0166666666666666,0.22780365769329433,0.14435892063937783,10
0.1,1.1,-0.28470520829033064,0.2972530070146279,10
0.18333333333333335,1.1,-0.14098086413400665,0.30818452027718585,10
0.26666666666666666,1.1,-0.11869769945248802,0.2630186688132677,10
0.35,1.1,-0.13630576318490167,0.21023132471837988,10
0.43333333333333335,1.1,-0.2146520118867054,0.26186210807779337,10
0.5166666666666666,1.1,-0.2346896087645752,0.26859244181442465,10
0.6,1.1,0.3503859913962081,0.20007049209025513,10
0.6833333333333332,1.1,0.01900555817587344,0.18422334441994828,10
0.7666666666666666,1.1,0.11702145001712441,0.1838559858623414,10
0.85,1.1,-0.10597210232273724,0.1466446530362116,10
0.9333333333333332,1.1,-0.15630118788751063,0.15609626260379197,10
1.0166666666666666,1.1,-0.22780365769329433,0.14435892063937783,10
1.1,1.1,0.0,0.0,10
