region_key,region_order,marker,q_left,q_right,effective_phase_lag_rad,phase_rad,left_force_normalized,right_force_normalized
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.43196898986859655,6.901761945824232e-08,0.9052611201286187
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.445058959258554,6.482631538874028e-08,0.9105297512555431
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.4581489286485115,6.088882580408651e-08,0.9156589356730371
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.47123889803846897,0.00028414140749247657,0.920647415548385
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.4843288674284264,0.0013510789570553424,0.9254937528779479
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.4974188368183839,0.003166370742474231,0.9301970213199411
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.5105088062083414,0.0056820795256903025,0.9347555861338649
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.5235987755982988,0.008856631673911918,0.9391688609352055
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.5366887449882562,0.012648636255701456,0.9434350057162378
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.5497787143782138,0.01702004832178438,0.9475537597312038
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.5628686837681712,0.02193511251839326,0.9515231360394352
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.5759586531581287,0.02735903074187637,0.9553430239842627
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.5890486225480862,0.033260893264002264,0.9590116539437544
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.6021385919380436,0.039608887949019456,0.9625287189347247
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.6152285613280011,0.04637626551451311,0.9658927869958813
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.6283185307179586,0.05353395907694102,0.9691033470616827
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.6414085001079161,0.061058785484884,0.9721593117842438
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.6544984694978735,0.06892444661538871,0.9750599590054352
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.667588438887831,0.07711007501839226,0.9778045521917148
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.6806784082777885,0.08559265013765519,0.980392151822563
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.6937683776677459,0.09435299677057415,0.9828223776290628
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.7068583470577035,0.10337105229959138,0.9850940671937878
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.7199483164476609,0.11262916353022474,0.9872072012134769
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.7330382858376183,0.12210980644644202,0.9891603895693939
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.7461282552275759,0.13179674231873786,0.9909539541018556
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.7592182246175333,0.14167462082923452,0.9925863442378537
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.7723081940074907,0.15172851854328506,0.9940580304863993
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.7853981633974483,0.1619449411910008,0.9953676953041437
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.7984881327874057,0.17231018956779245,0.996515585718206
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.8115781021773631,0.18281234881500988,0.9975007435650309
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.8246680715673207,0.19343886067266358,0.9983231882903065
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.8377580409572781,0.20417914864934905,0.998982324269413
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.8508480103472356,0.2150217905308535,0.999477939980351
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.8639379797371931,0.22595712511083071,0.9998098047525186
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.8770279491271505,0.23697499213048379,0.9999774734177052
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.890117918517108,0.24806644580789122,0.9999810819335249
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.9032078879070655,0.25922244097003766,0.999819949508994
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.916297857297023,0.2704346957483157,0.9994945796668412
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.9293878266869804,0.28169510746917326,0.9990040547126812
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.9424777960769379,0.29299602664988106,0.9983492215404914
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.9555677654668954,0.30433014192180635,0.9975289981539366
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.9686577348568528,0.315690407782572,0.9965443745662689
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.9817477042468103,0.3270701715726583,0.9953945085716952
left_dominant,1,s,0.35,0.85,1.6002818202429294,0.9948376736367678,0.3384629663683781,0.9940801526971416
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.0079276430267252,0.34986268179661134,0.9926008310904217
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.0210176124166828,0.36126340697393244,0.9909570581586495
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.03410758180664,0.37265947145821204,0.989148723809708
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.0471975511965976,0.38404548884989337,0.9871761043743591
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.0602875205865552,0.39541617369633303,0.9850394542054017
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.0733774899765125,0.40676659285089883,0.9827388122704677
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.08646745936647,0.41809183440918607,0.980274795336539
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.0995574287564276,0.42938733115375444,0.9776472063835389
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.112647398146385,0.4406485416237461,0.9748570218528817
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.1257373675363425,0.4518711890745657,0.971903810766459
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.1388273369263,0.46305109973548986,0.968788881855497
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.1519173063162573,0.47418422042720076,0.9655116446882025
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.1650072757062149,0.4852667433117885,0.9620735411415011
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.1780972450961724,0.4962947793364038,0.9584742181235092
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.1911872144861297,0.5072648857764397,0.9547148782453316
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.2042771838760873,0.5181732847987336,0.9507955270290744
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.2173671532660448,0.5290168988434533,0.9467171304407501
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.2304571226560022,0.5397920141103486,0.9424800484032994
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.2435470920459597,0.5504958618131055,0.938085013488855
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.2566370614359172,0.5611249217369166,0.9335327351271392
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.2697270308258746,0.571676542697551,0.9288237163685574
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.2828170002158321,0.5821474806035029,0.9239590105840072
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.2959069696057897,0.5925351310149096,0.9189388957852613
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.308996938995747,0.602836543137442,0.9137647630571331
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.3220869083857045,0.6130491228029197,0.9084366704563597
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.335176877775662,0.6231702197105721,0.9029563174293087
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.3482668471656194,0.6331972170811417,0.8973236151725562
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.361356816555577,0.643127772403669,0.8915403819184752
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.3744467859455345,0.6529592165826354,0.8856067546344536
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.3875367553354918,0.6626895222598643,0.8795243218065515
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.4006267247254494,0.6723159411392886,0.8732935570641999
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.413716694115407,0.6818367684090428,0.8669158247609858
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.4268066635053642,0.6912491522008684,0.8603919275923864
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.4398966328953218,0.700551631428492,0.8537230119639395
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.4529866022852793,0.7097414871462274,0.846910201420745
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.4660765716752366,0.7188172273196717,0.8399544311630796
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.4791665410651942,0.7277764022024654,0.8328571367615533
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.4922565104551517,0.736617419001604,0.8256190494996521
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.505346479845109,0.745338122926724,0.8182419075549837
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.5184364492350666,0.7539368004889447,0.8107262461152595
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.5315264186250241,0.762411601327809,0.8030740758888643
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.5446163880149815,0.7707606730229741,0.7952858045390807
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.557706357404939,0.7789824788129601,0.7873635431318673
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.5707963267948966,0.7870750106586191,0.7793079048575943
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.5838862961848539,0.7950370542405099,0.7711207908133482
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.5969762655748114,0.8028664306295251,0.7628031156691752
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.610066234964769,0.81056225644336,0.7543565788355885
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.6231562043547263,0.8181221678944799,0.7457823858262255
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.6362461737446838,0.825545514409683,0.7370820431434052
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.6493361431346414,0.832830053338286,0.728257035967799
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.6624261125245987,0.8399750306614302,0.719308687153108
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.6755160819145563,0.8469784951617954,0.7102387498459566
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.6886060513045138,0.8538395162066568,0.7010483729768905
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.7016960206944711,0.8605564630501709,0.6917395654493438
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.7147859900844287,0.8671282164922355,0.6823133124463173
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.7278759594743862,0.873553474756442,0.6727718490624807
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.7409659288643435,0.8798309191234039,0.6631160579387864
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.754055898254301,0.8859595847797916,0.6533482525792896
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.7671458676442586,0.8919379434820986,0.6434694930111096
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.780235837034216,0.8977653748554021,0.6334819115862242
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.7933258064241735,0.9034401320277299,0.6233868228446036
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.806415775814131,0.9089619460057047,0.6131861885446533
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.8195057452040884,0.9143288430453043,0.6028815645062936
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.832595714594046,0.9195407919067312,0.5924747528603508
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.8456856839840035,0.9245959446331984,0.581967537031075
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.8587756533739608,0.9294941272651959,0.5713615708779131
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.8718656227639183,0.9342338097470807,0.5606588513298812
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.8849555921538759,0.9388145989164047,0.5498608957037975
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.8980455615438332,0.9432353121378525,0.5389698999291199
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.9111355309337907,0.9474953298953076,0.5279872568633328
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.9242255003237483,0.9515938230403618,0.5169153335710379
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.9373154697137056,0.9555299393052737,0.5057554497972614
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.9504054391036632,0.9593032084863224,0.4945100262833775
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.9634954084936207,0.9629125399006201,0.48318052520355126
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.976585377883578,0.9663578271296215,0.47176922258441556
left_dominant,1,s,0.35,0.85,1.6002818202429294,1.9896753472735356,0.9696377361305452,0.4602777782303998
left_dominant,1,s,0.35,0.85,1.6002818202429294,2.002765316663493,0.9727525284852245,0.44870942138468983
left_dominant,1,s,0.35,0.85,1.6002818202429294,2.0158552860534504,0.9757006225516137,0.43728092042673006
left_dominant,1,s,0.35,0.85,1.6002818202429294,2.028945255443408,0.9784825231648961,0.42614347212681214
left_dominant,1,s,0.35,0.85,1.6002818202429294,2.0420352248333655,0.981096782526811,0.4152895844752254
left_dominant,1,s,0.35,0.85,1.6002818202429294,2.055125194223323,0.9835437403902569,0.4047123657623887
left_dominant,1,s,0.35,0.85,1.6002818202429294,2.06821516361328,0.9858222871387458,0.394404200817655
left_dominant,1,s,0.35,0.85,1.6002818202429294,2.0813051330032377,0.9879325195020106,0.38435903179617226
left_dominant,1,s,0.35,0.85,1.6002818202429294,2.0943951023931953,0.9898736942530852,0.3745691515115929
left_dominant,1,s,0.35,0.85,1.6002818202429294,2.107485071783153,0.9916456616031515,0.3650292697293076
left_dominant,1,s,0.35,0.85,1.6002818202429294,2.1205750411731104,0.9932480476758044,0.3557316506250541
